Book Title,Goodreads Categories,Goodreads Id,Cover Image Link,Cover Image Link 2
The King James Version of the Bible,"Religion1,387 usersClassics696 usersNonfiction627 usersChristian516 usersReligion > Christianity282 users",22758747,,
Alice's Adventures in Wonderland by Lewis Carroll,"Classics11,462 usersFantasy6,144 usersFiction4,256 usersChildrens1,948 users",28190157,,
Through the Looking-Glass by Lewis Carroll,"Classics3,163 usersFantasy2,129 usersFiction1,147 usersChildrens674 users",28234696,,
Peter Pan by J. M. Barrie,"Classics8,090 usersFantasy4,612 usersFiction2,063 usersChildrens1,838 users",34268,,
Paradise Lost by John Milton,"Classics5,605 usersPoetry3,915 usersFiction1,552 usersLiterature622 usersReligion547 users",15997,,
Aesop's Fables by Aesop,"Classics3,179 usersFiction1,147 usersShort Stories599 usersChildrens526 usersFantasy436 users",21348,,
Narrative of the Life of Frederick Douglass by Frederick Douglass,"Nonfiction1,519 usersHistory1,465 usersClassics1,323 usersBiography1,086 usersAutobiography > Memoir570 usersAcademic > School381 usersBiography > Autobiography361 usersCultural > African American272 usersNorth American Hi... > American History215 usersHistorical208 users",37510694,,
Herland by Charlotte Perkins Gilman,Fiction503 usersFeminism386 usersClassics326 usersScience Fiction228 usersFantasy155 users,42971234,,
The Time Machine by H. G. Wells,,2493,,
The War of the Worlds by H. G. Wells,,8909,,
The Legend of Sleepy Hollow by Washington Irving,,93261,,
The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,,7106354,,
Anne of Green Gables by L. M. Montgomery,,8127,,
A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens,,966435,,
Anne of Avonlea by L. M. Montgomery,,77390,,
Anne of the Island by L. M. Montgomery,,77392,,
The Wonderful Wizard of Oz by L. Frank Baum,,20774764,,
Discourse on Method by Rene Descartes,,31862,,
The Scarlet Pimpernel by Baroness Emmuska Orczy Orczy,,34458853,,
A Princess of Mars by Edgar Rice Burroughs,,36203566,,
What Is Man? and Other Essays by Mark Twain,,20410135,,
Tarzan of the Apes by Edgar Rice Burroughs,,28497958,,
Ivanhoe: A Romance by Walter Scott,,7147716,,
"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley",,36521820,,
A Connecticut Yankee in King Arthur's Court by Mark Twain,,28429751,,
"Communist Manifesto by Karl Marx, Friedrich Engels",,1785102,,
The Red Badge of Courage: An Episode of the American Civil War by Stephen Crane,,5738277,,
The Adventures of Tom Sawyer by Mark Twain,,24583,,
Adventures of Huckleberry Finn by Mark Twain,,2956,,
A Tale of Two Cities by Charles Dickens,,,,
The Complete Works of William Shakespeare by William Shakespeare,,764563,,
Around the World in Eighty Days by Jules Verne,,26868073,,
Persuasion by Jane Austen,,2156,,
